Date,Temperature (C),Rainfall (mm),Sunshine hours,Tallest Flower Height (cm)
2023-12-31,45,50,2,28
2023-01-01,15,0,6,30
2023-01-02,14,3,5,31
2023-01-03,15,0,6,33
2023-01-04,13,8,3,35
2023-01-05,14,1,4,36
2023-01-06,16,0,6,39
2023-01-07,17,0,7,41
2023-01-08,19,0,8,44
2023-01-09,20,0,9,46
2023-01-10,21,0,10,49
2023-01-11,22,0,11,51
2023-01-12,23,0,11,54
2023-01-13,24,0,12,57
2023-01-14,22,1,10,60
2023-01-15,19,4,8,62
2023-01-16,18,5,7,65
2023-01-17,17,0,7,68
2023-01-18,16,0,6,71
2023-01-19,14,2,5,73
2023-01-20,14,0,6,75
2023-01-21,13,3,4,76
2023-01-22,15,0,6,78
2023-01-23,16,0,7,79
2023-01-24,17,0,7,81
2023-01-25,18,0,8,82
2023-01-26,19,0,9,83
2023-01-27,21,0,10,84
2023-01-28,23,0,11,86
2023-01-29,25,0,12,88
2023-01-30,27,0,13,90
2023-01-31,-5,50,2,01
